User,Location,Num_Repos,Num_Stars,Num_Followers,Num_Following
dsnet, Mountain View ,19,92,190,35
dsrbecky,Unknown,12,13,38,8
dsymonds," Sydney, Australia ",20,11,472,8
dtapuska,Unknown,24,0,11,0
dtarasiuk," Irvine, California, USA ",13,111,25,19
DualTachyon," London, UK ",1,1,14,0
dubey,Unknown,6,3,26,3
dubois," Oakland, USA ",8,1,28,0
ducrohet, Mountain View ,2,2,1.2k,0
dulacp, Paris ,125,1.4k,88,171
dustin," San Jose, CA ",234,411,919,19
dustinkirkland," Austin, TX, USA ",44,11,132,1
dustinvtran," San Francisco, CA ",12,157,850,29
dvdwasibi, San Francisco ,16,34,38,9
dweekly," Redwood City, CA ",42,36,88,44
dwoffinden," London, UK ",11,120,12,17
dygert,Unknown,0,0,11,0
dzinxed,Unknown,11,9,13,2
e-noyau,Unknown,2,2,28,1
e111077," San Francisco, CA ",22,7,85,5
eaenet,Unknown,3,3,48,7
eakuefner," Mountain View, CA ",15,21,47,4
eap," Mountain View, CA ",11,4,9,0
earth2marsh, San Francisco ,62,357,63,15
easeway,Unknown,30,310,27,23
ebf42,Unknown,0,0,7,0
ebidel," San Francisco, CA ",67,24,4.1k,0
eburley,Unknown,8,3,26,0
echristo," San Jose, CA ",2,22,26,4
ed7coyne, Los Angeles ,5,5,20,0
eddavisson,Unknown,4,0,42,0
edman," Munich, Germany ",11,3,14,2
eduardocereto," San Jose, CA ",22,179,152,47
eforbes, New York City ,10,9,18,8
efortuna,Unknown,11,8,149,2
eggrobin, Switzerland ,10,13,19,3
eholk," Mountain View, CA ",55,68,184,6
ehsane,Unknown,5,1,33,0
ehudt,Unknown,15,27,7,2
eisbock,Unknown,0,0,8,0
elharo, New York ,37,6,29,0
elhossari,Unknown,2,768,15,14
eli7,Unknown,4,43,9,1
eliben, California ,36,10,1.9k,0
elly," New York, NY ",35,28,124,4
emarchiori,Unknown,2,2,14,0
emchristiansen,Unknown,81,139,28,4
